, Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
295.00, Mobly , ON , MBLY3 ," R$329,054 ",-,-," Alerta, Prejuízo ", Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,-3.40,-29.2%,-,0.60,0.50,3.09, R$-   ,-R$0.90 ,0.0%,0%," R$588,786 "," R$180,602 "," R$203,692 ","-R$23,090 ",0.31,-, Empresa com Mais Caixa que Dívida , - , - , - , - , - , - ,-,"-R$121,901 ",-,N/D,-14%,-11%,-11%,-,30/06/2022," R$13,799 "," 6,344 ", Liquidez Alta 
296.00, Bahema , ON , BAHI3 ," R$310,075 ",-,-," Alerta, Prejuízo ", Bovespa Mais , Consumo cíclico , Diversos , Serviços educacionais ,-3.00,-33.5%,-44.90,2.30,0.70,13.04, R$-   ,-R$4.36 ,0.0%,0%," R$133,675 "," R$125,904 "," R$3,563 "," R$122,341 ",0.94,-, Baixo Endividamento ,"-R$2,745 ","-R$3,020 ","-R$1,347 ","-R$1,363 ","-R$5,986 ","-R$9,861 ",29%," R$13,243 ",515%,213%,-50%,-5%,-12%,0.88,30/06/2022, R$492 , 71 , Liquidez Baixa 
297.00, Padtec , ON , PDTC3 ," R$303,602 ",-,-," Alerta, Prejuízo ", Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,-56.90,-1.8%,6.00,2.50,0.90,3.87, R$-   ,-R$0.07 ,0.0%,0%," R$119,698 "," R$120,233 "," R$69,914 "," R$50,319 ",1.00,0.69, Baixo Endividamento ,"-R$164,951 "," R$135,784 "," R$23,191 "," R$9,594 "," R$3,893 "," R$56,772 ",-181%," R$4,494 ",400%,109%,-4%,11%,-1%,1.51,30/06/2022," R$1,917 "," 1,836 ", Liquidez Moderada 
298.00, Pine , PN , PINE4 ," R$302,035 ",-,-, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,24.00,4.2%,-,0.40,-,1.62, R$-   , R$0.07 ,0.0%,0%," R$844,269 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$118,976 ",-,N/D,1%,,0%,1.66,30/06/2022, R$715 , 505 , Liquidez Baixa 
299.00, Tecnisa , ON , TCSA3 ," R$300,366 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,-2.50,-40.1%,-13.00,0.50,2.20,4.08, R$-   ,-R$1.63 ,0.0%,0%," R$573,852 "," R$577,570 "," R$98,666 "," R$478,904 ",1.01,-, Baixo Endividamento ," R$263,866 ","-R$455,211 ","-R$464,405 ","-R$209,001 ","-R$204,252 ","-R$62,216 ",-175%,"-R$25,543 ",157%,-314%,-17%,-4%,-8%,1.83,30/06/2022," R$3,299 "," 1,997 ", Liquidez Moderada 
300.00, Triunfo Part , ON , TPIS3 ," R$294,962 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Bens industriais , Transporte , Exploração de rodovias ,2.10,48.4%,3.20,0.30,0.20,1.70, R$0.02 , R$0.82 ,1.1%,2%," R$983,235 "," R$1,763,166 "," R$85,312 "," R$1,677,854 ",1.79,2.67, Dívida Moderada ," R$1,052,218 "," R$696,743 "," R$784,070 "," R$193,258 "," R$364,023 "," R$627,806 ",-10%," R$276,661 ",53%,61%,18%,9%,5%,1.77,30/06/2022," R$3,696 "," 2,166 ", Liquidez Moderada 
301.00, Cambuci , ON , CAMB3 ," R$279,016 ",-,-, Crescimento , Tradicional , Consumo cíclico , Tecidos vestuário e calçados , Calçados ,5.40,18.6%,5.00,2.00,0.80,6.60, R$0.13 , R$1.23 ,2.0%,11%," R$142,274 "," R$103,298 "," R$3,832 "," R$99,466 ",0.73,1.31, Baixo Endividamento ," R$45,608 "," R$16,775 "," R$26,333 "," R$35,953 "," R$45,098 "," R$75,187 ",11%,"-R$5,568 ",-376%,250%,55%,16%,15%,0.95,30/06/2022," R$1,772 ", 585 , Liquidez Moderada 
302.00, Gafisa , ON , GFSA3 ," R$278,581 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,10.80,9.3%,8.00,0.20,0.30,7.36, R$-   , R$0.68 ,0.0%,0%," R$1,786,156 "," R$1,786,348 "," R$98,045 "," R$1,688,303 ",1.00,6.55, Baixo Endividamento ," R$163,706 ","-R$442,370 ","-R$832,098 ","-R$341,216 "," R$24,427 "," R$191,856 ",3%,"-R$134,157 ",-143%,656%,2%,3%,1%,1.54,30/06/2022," R$39,799 "," 6,390 ", Liquidez Alta 
303.00, GP Invest , A , GPIV33 ," R$273,273 ",-,-," Alerta, Prejuízo ", BDR nível 3 , Financeiro , Serviços financeiros diversos , Gestão de recursos e investimentos ,-7.40,-13.5%,-2.50,0.20,-2.00,3.45, R$-   ,-R$0.47 ,0.0%,0%," R$1,407,582 "," R$105,085 "," R$331,937 ","-R$226,852 ",0.07,-, Empresa com Mais Caixa que Dívida ,"-R$599,594 "," R$397,468 "," R$339,602 ","-R$548,860 "," R$576,026 ","-R$293,536 ",-13%,"-R$334,511 ",244%,48805%,-12%,-8%,-11%,1.10,30/06/2022," R$1,338 ", 404 , Liquidez Moderada 
304.00, Paranapanema , ON , PMAM3 ," R$268,661 ",-,-," Alerta, Prejuízo ", Novo Mercado , Materiais básicos , Siderurgia e metalurgia , Artefatos de cobre ,-0.30,-372.3%,-9.30,-0.20,0.10,6.19, R$-   ,-R$23.05 ,0.0%,0%,"-R$1,316,815 "," R$3,065,301 "," R$11,583 "," R$3,053,718 ",-2.33,-, Patrimônio Líquido Negativo ," R$265,725 "," R$108,366 ","-R$214,705 "," R$82,708 "," R$274,680 ","-R$356,912 ",-206%," R$186,994 ",57%,82%,,-16%,-34%,1.34,30/06/2022," R$1,375 ", 759 , Liquidez Moderada 
305.00, Rni , ON , RDNI3 ," R$266,723 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,21.40,4.7%,25.00,0.40,0.40,6.32, R$0.06 , R$0.30 ,0.9%,19%," R$631,678 "," R$601,163 "," R$69,347 "," R$531,816 ",0.95,16.26, Baixo Endividamento ," R$17,859 ","-R$59,877 ","-R$73,923 ","-R$28,044 "," R$12,972 "," R$32,710 ",13%,"-R$89,133 ",-6%,116%,3%,1%,1%,1.16,30/06/2022, R$532 , 346 , Liquidez Baixa 
306.00, Inepar , ON , INEP3 ," R$259,410 ",-,-," Alerta, Baixo Crescimento ", Tradicional , Bens industriais , Máquinas e equipamentos , Máq. e equip. industriais ,0.20,465.5%,0.80,-0.20,10.10,1.46, R$-   , R$6.80 ,0.0%,0%,"-R$1,381,605 "," R$791,214 "," R$18,549 "," R$772,665 ",-0.57,0.60, Patrimônio Líquido Negativo ,"-R$208,101 ","-R$386,959 ","-R$127,026 ","-R$225,050 ", - ," R$1,297,215 ",-244%," R$119,892 ",17%,235%,,134%,86%,0.93,30/06/2022," R$41,998 "," 8,833 ", Liquidez Alta 
307.00, Inepar , PN , INEP4 ," R$259,410 ",-,-," Alerta, Baixo Crescimento ", Tradicional , Bens industriais , Máquinas e equipamentos , Máq. e equip. industriais ,0.20,492.4%,0.80,-0.20,9.60,1.38, R$-   , R$6.80 ,0.0%,0%,"-R$1,381,605 "," R$791,214 "," R$18,549 "," R$772,665 ",-0.57,0.60, Patrimônio Líquido Negativo ,"-R$208,101 ","-R$386,959 ","-R$127,026 ","-R$225,050 ", - ," R$1,297,215 ",-244%," R$119,892 ",17%,235%,,134%,86%,0.86,30/06/2022," R$11,804 "," 3,707 ", Liquidez Alta 
308.00, Enjoei , ON , ENJU3 ," R$254,309 ",-,-," Alerta, Prejuízo ", Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,-2.40,-42.2%,0.80,0.60,2.00,1.27, R$-   ,-R$0.54 ,0.0%,0%," R$389,912 ", R$-   ," R$335,070 ","-R$335,070 ",0.00,-, Empresa com Mais Caixa que Dívida , - , - , - , - , - ,"-R$117,417 ",-,"-R$58,875 ",-67%,271%,-23%,-159%,-24%,-,30/06/2022," R$4,011 "," 5,029 ", Liquidez Moderada 
309.00, Priner , ON , PRNR3 ," R$253,389 ",-,-, Crescimento , Novo Mercado , Bens industriais , Serviços diversos , Serviços diversos ,11.90,8.4%,4.60,1.10,0.50,6.74, R$0.09 , R$0.57 ,1.4%,17%," R$239,174 "," R$85,561 "," R$44,656 "," R$40,905 ",0.36,0.44, Baixo Endividamento ," R$24,193 "," R$21,577 "," R$4,677 "," R$29,778 "," R$27,464 "," R$64,229 ",22%," R$54,614 ",89%,211%,11%,9%,5%,-,30/06/2022," R$6,132 "," 3,546 ", Liquidez Moderada 
310.00, D1000vfarma , ON , DMVF3 ," R$247,955 ",-,-, Crescimento , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,13.40,7.4%,1.90,0.30,0.20,4.90, R$-   , R$0.36 ,0.0%,0%," R$843,217 "," R$39,746 "," R$70,382 ","-R$30,636 ",0.05,-0.26, Empresa com Mais Caixa que Dívida , - , - ,"-R$16,464 "," R$31,584 "," R$50,438 "," R$115,918 ",-," R$91,118 ",47%,43%,2%,1%,1%,-,30/06/2022, R$741 , 340 , Liquidez Baixa 
311.00, Josapar , ON , JOPA3 ," R$244,970 ",-,-," Alerta, Baixo Crescimento ", Tradicional , Consumo não cíclico , Alimentos processados , Alimentos diversos ,6.50,15.5%,8.30,0.40,0.10,23.00, R$0.83 , R$3.56 ,3.6%,23%," R$563,152 "," R$1,277,502 "," R$37,120 "," R$1,240,382 ",2.27,4.96, Dívida Alta ," R$100,387 "," R$127,092 "," R$80,686 "," R$78,357 "," R$44,776 "," R$129,559 ",5%,"-R$204,573 ",-2%,20%,6%,5%,2%,-,30/06/2022, R$357 , 10 , Liquidez Baixa 
312.00, Dotz SA , ON , DOTZ3 ," R$239,044 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Diversos , Programas de fidelização ,-2.60,-39.0%,-0.70,-1.90,1.90,1.81, R$-   ,-R$0.71 ,0.0%,0%,"-R$126,909 "," R$57,670 "," R$217,895 ","-R$160,225 ",-0.45,-, Patrimônio Líquido Negativo , - , - , - , - ," R$3,943 ","-R$82,698 ",-,"-R$84,633 ",-38%,177%,,,-27%,-,30/06/2022, R$557 , 919 , Liquidez Baixa 
313.00, Time For Fun , ON , SHOW3 ," R$209,654 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Viagens e lazer , Produção de eventos e shows ,-8.70,-11.5%,-102.60,1.40,0.80,3.11, R$-   ,-R$0.36 ,0.0%,0%," R$150,432 "," R$113,456 "," R$211,758 ","-R$98,302 ",0.75,-, Empresa com Mais Caixa que Dívida ," R$41,676 "," R$64,624 "," R$75,013 "," R$37,442 ","-R$30,349 ","-R$1,081 ",-148%," R$33,498 ",-14%,-77%,-14%,-4%,-4%,2.02,30/06/2022," R$6,091 "," 4,688 ", Liquidez Moderada 
314.00, Aco Altona , PN , EALT4 ," R$199,950 ",-,-, Crescimento e Dividendos , Tradicional , Bens industriais , Máquinas e equipamentos , Máq. e equip. industriais ,4.10,24.5%,4.00,1.00,0.40,8.80, R$1.26 , R$2.16 ,14.3%,58%," R$197,779 "," R$124,916 "," R$6,465 "," R$118,451 ",0.63,1.47, Baixo Endividamento ," R$18,543 "," R$12,790 "," R$57,679 "," R$30,090 "," R$37,245 "," R$79,663 ",34%," R$60,865 ",126%,520%,26%,11%,9%,0.93,30/06/2022, R$252 , 151 , Liquidez Baixa 
315.00, Azevedo , ON , AZEV3 ," R$178,336 ",-,-, Crescimento , Tradicional , Bens industriais , Construção e engenharia , Construção pesada ,6.20,16.2%,5.10,1.30,0.60,2.35, R$-   , R$0.38 ,0.0%,0%," R$101,086 "," R$32,181 "," R$17,562 "," R$14,619 ",0.32,0.39, Baixo Endividamento ," R$14,180 ","-R$42,632 ","-R$70,854 ","-R$80,278 ","-R$18,603 "," R$37,819 ",22%,"-R$19,620 ",-616%,764%,,5%,4%,1.25,30/06/2022," R$1,388 ", 787 , Liquidez Moderada 
316.00, Azevedo , PN , AZEV4 ," R$178,336 ",-,-," Alerta, Baixo Crescimento ", Tradicional , Bens industriais , Construção e engenharia , Construção pesada ,6.00,16.6%,5.10,1.20,0.60,2.29, R$-   , R$0.38 ,0.0%,0%," R$101,086 "," R$32,181 "," R$17,562 "," R$14,619 ",0.32,0.39, Baixo Endividamento ," R$14,180 ","-R$42,632 ","-R$70,854 ","-R$80,278 ","-R$18,603 "," R$37,819 ",22%,"-R$19,620 ",-616%,764%,,5%,4%,1.35,30/06/2022," R$4,276 "," 1,648 ", Liquidez Moderada 
317.00, Technos , ON , TECN3 ," R$161,150 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Tecidos vestuário e calçados , Acessórios ,4.80,21.0%,-,0.50,0.50,2.18, R$0.08 , R$0.46 ,3.7%,18%," R$336,763 "," R$127,482 "," R$62,556 "," R$64,926 ",0.38,-, Baixo Endividamento ," R$45,330 "," R$21,867 "," R$9,269 "," R$8,380 ","-R$114,391 ", - ,-,"-R$8,656 ",-,N/D,11%,8%,6%,1.52,30/06/2022," R$3,211 "," 1,938 ", Liquidez Moderada 
318.00, Getninjas , ON , NINJ3 ," R$153,185 ",-,-," Alerta, Prejuízo ", Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,-5.10,-19.6%,-,0.60,2.50,3.05, R$-   ,-R$0.60 ,0.0%,0%," R$278,311 "," R$1,268 "," R$214,286 ","-R$213,018 ",0.00,-, Empresa com Mais Caixa que Dívida , - , - , - ,"-R$6,932 ","-R$2,231 ", - ,-,"-R$29,339 ",-29%,N/D,-10%,,-10%,-,30/06/2022," R$3,766 "," 3,626 ", Liquidez Moderada 
319.00, Westwing , ON , WEST3 ," R$128,931 ",-,-," Alerta, Prejuízo ", Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,-2.90,-34.7%,-,0.40,0.40,1.17, R$-   ,-R$0.41 ,0.0%,0%," R$362,222 "," R$31,788 "," R$163,717 ","-R$131,929 ",0.09,-, Empresa com Mais Caixa que Dívida , - , - , - , - , - , - ,-,"-R$152,649 ",-,N/D,-11%,-21%,-10%,-,30/06/2022," R$5,143 "," 7,165 ", Liquidez Moderada 
320.00, Springs , ON , SGPS3 ," R$114,500 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Tecidos vestuário e calçados , Fios e tecidos ,-0.40,-273.5%,7.90,0.10,0.10,2.29, R$-   ,-R$6.26 ,0.0%,0%," R$770,814 "," R$1,102,715 "," R$283,862 "," R$818,853 ",1.43,6.91, Baixo Endividamento ," R$233,024 "," R$246,600 "," R$254,605 "," R$340,759 "," R$172,420 "," R$115,843 ",-13%," R$76,514 ",38%,29%,-30%,0%,-10%,1.76,30/06/2022, R$362 , 573 , Liquidez Baixa 
321.00, Lupatech , ON , LUPA3 ," R$109,575 ",-,-," Alerta, Prejuízo ", Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Equipamentos e serviços ,-11.30,-8.9%,-11.00,0.80,1.00,3.61, R$-   ,-R$0.32 ,0.0%,0%," R$124,942 "," R$136,318 "," R$11,349 "," R$124,969 ",1.09,-, Baixo Endividamento ,"-R$228,740 ","-R$41,556 ","-R$40,690 ","-R$43,499 ","-R$13,405 ","-R$21,380 ",-38%,"-R$25,961 ",44%,-209%,-8%,-4%,-2%,1.83,30/06/2022," R$11,940 "," 4,926 ", Liquidez Alta 
322.00, Le Lis Blanc , ON , LLIS3 ," R$101,211 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,-0.10,-803.4%,18.70,-0.20,0.10,1.47, R$-   ,-R$11.81 ,0.0%,0%,"-R$630,335 "," R$1,851,023 "," R$23,765 "," R$1,827,258 ",-2.94,17.68, Patrimônio Líquido Negativo ," R$249,186 "," R$228,511 "," R$262,612 "," R$350,601 "," R$88,452 "," R$102,629 ",-16%," R$159,030 ",74%,17%,-445%,-33%,-53%,1.88,30/06/2022, R$626 , 311 , Liquidez Baixa 
, Joao Fortes , ON , JFEN3 ," R$92,579 ",-,-," Alerta, Prejuízo ", Tradicional , Consumo cíclico , Construção civil , Incorporações ,-0.50,-199.1%,-3.40,-0.20,23.90,0.88, R$-   ,-R$1.75 ,0.0%,0%,"-R$614,179 "," R$592,693 "," R$11,882 "," R$580,811 ",-0.97,-, Patrimônio Líquido Negativo ,"-R$201,927 ","-R$386,392 ","-R$437,202 ","-R$403,301 ","-R$289,384 ","-R$166,467 ",-4%," R$9,880 ",44%,231%,,-20%,-16%,-,30/06/2022," R$1,439 "," 1,210 ", Liquidez Moderada 
, Mundial , ON , MNDL3 ," R$87,997 ",-,-," Alerta, Prejuízo ", Tradicional , Consumo cíclico , Tecidos vestuário e calçados , Acessórios ,-0.10,-699.7%,3.70,-0.10,0.10,35.49, R$-   ,-R$248.33 ,0.0%,0%,"-R$738,899 "," R$326,738 "," R$5,430 "," R$321,308 ",-0.44,2.88, Patrimônio Líquido Negativo ," R$25,712 "," R$61,042 "," R$41,954 "," R$69,424 "," R$68,754 "," R$111,083 ",34%,"-R$52,654 ",-34%,120%,,,-48%,0.60,30/06/2022, R$425 , 32 , Liquidez Baixa 
, Viver , ON , VIVR3 ," R$72,340 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,-1.20,-81.5%,-3.70,-0.30,0.90,0.44, R$-   ,-R$0.36 ,0.0%,0%,"-R$191,558 "," R$239,672 "," R$21,188 "," R$218,484 ",-1.25,-, Patrimônio Líquido Negativo ,"-R$153,727 ","-R$242,723 ","-R$94,666 ","-R$81,863 ","-R$161,489 ","-R$79,271 ",-12%,"-R$100,572 ",-2%,156%,,-35%,-16%,2.14,30/06/2022," R$2,678 "," 1,671 ", Liquidez Moderada 
, Nexpe , ON , NEXP3 ," R$63,733 ",-,-," Alerta, Prejuízo ", Novo Mercado , Financeiro , Exploração de imóveis , Intermediação imobiliária ,-0.60,-179.4%,-1.10,2.20,0.40,0.48, R$-   ,-R$0.86 ,0.0%,0%," R$28,746 "," R$61,123 "," R$60,558 ", R$565 ,2.13,-, Dívida Alta ,"-R$78,121 ","-R$110,588 ","-R$103,847 ","-R$61,673 ","-R$59,414 ","-R$59,214 ",-5%,"-R$63,685 ",-28%,174%,-164%,-37%,-28%,1.98,30/06/2022, R$527 ," 1,187 ", Liquidez Baixa 
, Rossi Resid , ON , RSID3 ," R$58,475 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,-0.10,-878.4%,-1.90,-0.10,17.10,2.96, R$-   ,-R$26.00 ,0.0%,0%,"-R$882,178 "," R$598,834 "," R$3,549 "," R$595,285 ",-0.68,-, Patrimônio Líquido Negativo ,"-R$317,061 ","-R$292,287 ","-R$418,023 ","-R$427,388 ","-R$288,181 ","-R$337,638 ",1%,"-R$15,964 ",0%,0%,,,-52%,1.37,30/06/2022, R$412 , 581 , Liquidez Baixa 
, Recrusul , ON , RCSL3 ," R$55,315 ",-,-," Alerta, Prejuízo ", Tradicional , Bens industriais , Material de transporte , Material rodoviário ,-29.80,-3.4%,32.20,-2.40,1.20,2.37, R$-   ,-R$0.08 ,0.0%,0%,"-R$38,059 ", R$10 , R$645 ,-R$635 ,0.00,-0.38, Patrimônio Líquido Negativo ,"-R$4,961 ","-R$6,129 ","-R$25,992 ","-R$4,684 ", R$909 ," R$1,692 ",-181%,"-R$1,832 ",-487%,875%,,1%,-5%,1.99,30/06/2022," R$3,005 "," 2,534 ", Liquidez Moderada 
, Recrusul , PN , RCSL4 ," R$55,315 ",-,-," Alerta, Prejuízo ", Tradicional , Bens industriais , Material de transporte , Material rodoviário ,-12.60,-8.0%,32.20,-1.00,0.50,1.00, R$-   ,-R$0.08 ,0.0%,0%,"-R$38,059 ", R$10 , R$645 ,-R$635 ,0.00,-0.38, Patrimônio Líquido Negativo ,"-R$4,961 ","-R$6,129 ","-R$25,992 ","-R$4,684 ", R$909 ," R$1,692 ",-181%,"-R$1,832 ",-487%,875%,,1%,-5%,1.81,30/06/2022, R$931 ," 1,566 ", Liquidez Baixa 
, IGB S/A , ON , IGBR3 ," R$43,205 ",-,-," Alerta, Prejuízo ", Tradicional , Financeiro , Exploração de imóveis , Exploração de imóveis ,-1.10,-92.8%,-,0.00,6.40,34.55, R$-   ,-R$32.05 ,0.0%,0%,"-R$1,066,077 "," R$352,053 "," R$1,005 "," R$351,048 ",-0.33,-, Patrimônio Líquido Negativo , - , - , - , - , - , - ,-,"-R$19,562 ",-,N/D,,,-34%,1.35,30/06/2022, R$344 , 69 , Liquidez Baixa 
, Wetzel S/A , PN , MWET4 ," R$35,747 ",-,-," Alerta, Prejuízo ", Tradicional , Bens industriais , Material de transporte , Material rodoviário ,-8.20,-12.2%,-11.20,-0.40,0.10,11.06, R$-   ,-R$1.35 ,0.0%,0%,"-R$52,711 "," R$67,108 ", R$387 ," R$66,721 ",-1.27,-, Patrimônio Líquido Negativo ,"-R$41,380 "," R$6,408 ","-R$10,809 ","-R$12,389 ","-R$9,066 ","-R$9,017 ",-26%,"-R$5,971 ",-188%,279%,,-5%,-1%,1.06,30/06/2022, R$345 , 181 , Liquidez Baixa 
, PDG Realt , ON , PDGR3 ," R$33,680 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,0.00,2337.7%,-4.20,0.00,0.10,0.60, R$-   , R$14.03 ,0.0%,0%,"-R$4,751,962 "," R$1,179,089 "," R$83,297 "," R$1,095,792 ",-0.25,-, Patrimônio Líquido Negativo ,"-R$1,716,426 ","-R$4,533,000 ","-R$1,745,724 ","-R$359,089 ","-R$452,802 ","-R$249,391 ",-32%,"-R$1,783 ",-89%,203%,,,64%,1.56,30/06/2022," R$1,068 ", 803 , Liquidez Moderada 
, Haga S/A , ON , HAGA3 ," R$26,220 ",-,-, Crescimento , Tradicional , Bens industriais , Construção e engenharia , Produtos para construção ,10.40,9.6%,-,-0.70,1.50,3.91, R$-   , R$0.38 ,0.0%,0%,"-R$63,093 "," R$26,723 ", R$8 ," R$26,715 ",-0.42,-, Patrimônio Líquido Negativo , - , - , - , - , - , - ,-," R$2,365 ",-,N/D,,20%,8%,0.61,30/06/2022," R$1,095 ", 756 , Liquidez Moderada 
, Haga S/A , PN , HAGA4 ," R$26,220 ",-,-, Crescimento , Tradicional , Bens industriais , Construção e engenharia , Produtos para construção ,3.60,27.9%,-,-0.30,0.50,1.35, R$-   , R$0.38 ,0.0%,0%,"-R$63,093 "," R$26,723 ", R$8 ," R$26,715 ",-0.42,-, Patrimônio Líquido Negativo , - , - , - , - , - , - ,-," R$2,365 ",-,N/D,,20%,8%,0.77,30/06/2022, R$734 , 982 , Liquidez Baixa 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
